format,filename,bitrate,major_brand,minor_version,compatible_brands,encoder
format,videos/BigBuckBunny240-abr-1500K.mp4,1402349,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-abr-3000K.mp4,2847412,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-abr-7500K.mp4,7202361,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-abr-750K.mp4,687946,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-abrVbv-1500K.mp4,1361161,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-abrVbv-3000K.mp4,2758694,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-abrVbv-7500K.mp4,7054065,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-abrVbv-750K.mp4,683587,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crf-17.mp4,6277033,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crf-23.mp4,2918083,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crf-29.mp4,1447417,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crf-35.mp4,765308,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-17_1500K.mp4,1479184,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-17_3000K.mp4,2977687,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-17_7500K.mp4,5875566,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-17_750K.mp4,747392,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-23_1500K.mp4,1476660,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/BigBuckBunny240-crfVbv-23_3000K.mp4,2587080,isom,512,isomiso2avc1mp41,Lavf57.66.103
